seq,sample_id,audio,gt_azimuth_deg,pred_azimuth_deg,error_deg,pred_offset_deg,pred_corrected_azimuth_deg,corrected_error_deg,distance_m
data/test/clock3,0101,data/test/clock3/audio/0101.wav,119.714406,11.000000,108.714406,77.000000,88.000000,31.714406,2.607658
data/test/clock3,0102,data/test/clock3/audio/0102.wav,121.188484,11.500000,109.688484,77.000000,88.500000,32.688484,2.602458
data/test/clock3,0103,data/test/clock3/audio/0103.wav,122.199461,13.000000,109.199461,77.000000,90.000000,32.199461,2.597984
data/test/clock3,0104,data/test/clock3/audio/0104.wav,122.855596,12.500000,110.355596,77.000000,89.500000,33.355596,2.589457
data/test/clock3,0105,data/test/clock3/audio/0105.wav,123.745624,14.000000,109.745624,77.000000,91.000000,32.745624,2.581752
data/test/clock3,0106,data/test/clock3/audio/0106.wav,124.502669,14.000000,110.502669,77.000000,91.000000,33.502669,2.571952
data/test/clock3,0107,data/test/clock3/audio/0107.wav,125.428037,14.000000,111.428037,77.000000,91.000000,34.428037,2.568443
data/test/clock3,0108,data/test/clock3/audio/0108.wav,126.569935,14.000000,112.569935,77.000000,91.000000,35.569935,2.563100
data/test/clock3,0109,data/test/clock3/audio/0109.wav,127.754276,15.500000,112.254276,77.000000,92.500000,35.254276,2.559357
data/test/clock3,0110,data/test/clock3/audio/0110.wav,129.495647,17.000000,112.495647,77.000000,94.000000,35.495647,2.549284
data/test/clock3,0111,data/test/clock3/audio/0111.wav,130.928292,17.500000,113.428292,77.000000,94.500000,36.428292,2.541038
data/test/clock3,0112,data/test/clock3/audio/0112.wav,132.550995,20.000000,112.550995,77.000000,97.000000,35.550995,2.534321
data/test/clock3,0113,data/test/clock3/audio/0113.wav,134.120545,21.500000,112.620545,77.000000,98.500000,35.620545,2.523831
data/test/clock3,0114,data/test/clock3/audio/0114.wav,135.907118,24.000000,111.907118,77.000000,101.000000,34.907118,2.506877
data/test/clock3,0115,data/test/clock3/audio/0115.wav,137.647559,25.000000,112.647559,77.000000,102.000000,35.647559,2.492839
data/test/clock3,0116,data/test/clock3/audio/0116.wav,139.303662,27.000000,112.303662,77.000000,104.000000,35.303662,2.477680
data/test/clock3,0117,data/test/clock3/audio/0117.wav,140.893497,32.000000,108.893497,77.000000,109.000000,31.893497,2.465513
data/test/clock3,0118,data/test/clock3/audio/0118.wav,142.537633,38.000000,104.537633,77.000000,115.000000,27.537633,2.451482
data/test/clock3,0119,data/test/clock3/audio/0119.wav,143.993010,46.000000,97.993010,77.000000,123.000000,20.993010,2.437561
data/test/clock3,0120,data/test/clock3/audio/0120.wav,145.759201,47.500000,98.259201,77.000000,124.500000,21.259201,2.422974
data/test/clock3,0121,data/test/clock3/audio/0121.wav,147.330336,54.000000,93.330336,77.000000,131.000000,16.330336,2.408631
